"userId","movieId","rating","timestamp"
89,1385,3,1257610479
294,4816,4,1047072493
397,413,2,1268904250
273,5378,4,1466946309
213,4343,5,1462644087
213,54001,3.5,1462636406
388,2011,3,946523740
564,818,4,974838390
461,2108,2,1091959304
547,3886,3.5,1053171261
491,2699,3,940795870
580,671,4,1156127811
88,52668,4.5,1259386770
102,3461,4,956598974
452,3200,4,989112264
72,56367,4,1464722868
509,2474,4,940015074
311,1016,2,897575570
239,4214,4,991860829
342,920,5,945124802
285,2139,3,965542784
509,8154,4,1124553059
78,1997,4,1344470116
253,1089,4,1215831506
527,1918,1,1281232047
378,96373,4,1443292675
620,7361,4.5,1455532096
17,1729,2.5,1127470069
518,1674,4,945362783
213,69524,3,1462634543
311,932,3,898008516
294,1288,3.5,1091809058
505,3724,3,1342311981
624,6375,5,1071935208
81,1213,3,1307178374
56,5902,4,1467005692
515,30707,5,1286401629
550,861,3,942669965
148,329,4,1059604036
562,3098,3.5,1167428368
203,3617,4,1226321092
165,5902,0.5,1111980416
412,3897,3,993087185
564,2193,4,974716189
568,1,3,835002305
412,2355,3,993088141
102,616,4,958250102
597,1097,4,940707230
394,500,3.5,1298379427
4,1097,5,949778771
23,1077,4,1148669318
56,1209,5,1467006798
333,72998,4.5,1441199310
140,3247,3.5,1398068320
627,1645,3.5,1201389785
358,2135,4,957481400
294,7001,3.5,1077573421
505,3639,2.5,1340409708
431,1956,4.5,1165548378
190,2622,4,975694759
621,6184,3.5,1116476200
384,42718,3.5,1171062863
311,6239,3,1062619349
617,2447,5,944893837
452,2470,2,1002938285
83,4174,4,1156206943
91,112623,4.5,1448798238
213,84601,2.5,1462644086
624,1377,3,1019124094
575,1277,4,1012593446
241,296,4,847339376
318,830,3,862902980
15,5171,0.5,1416119747
537,1179,3,879503028
623,3972,4.5,1225255588
624,101360,1.5,1415532900
560,527,4.5,1452849283
405,6219,5,1097769791
73,95499,4.5,1398570019
81,8485,4,1307178208
407,2997,5,962646563
78,36529,5,1327288988
213,1644,2,1462644086
73,1148,4,1255588350
537,1023,5,879520825
407,3285,3,966182321
580,27741,4.5,1155617572
439,5956,5,1041021089
533,3527,3,965314929
599,87430,4,1344135714
547,866,4.5,1135940990
219,2706,4,974474954
214,2467,5,978417948
385,593,5,836679046
486,7325,3,1464121448
30,1380,4,945295543
72,1961,3.5,1461784642
561,33679,4,1172766064
102,1124,4,957894532
167,480,5,954114978
547,2640,2,1021195505
73,50641,5,1441514296
369,318,5,847465462
212,500,2.5,1218403787
461,2985,4.5,1091048451
472,480,4,994737675
564,1845,4,974713644
475,51662,4,1446908562
407,3163,5,962646594
580,1194,3,1156128393
358,361,3,957479518
430,1757,3,1170411539
388,27721,4.5,1104821581
95,4018,3,1016317519
384,42002,3.5,1153950330
492,1614,2,898107789
198,1089,2,1068822632
379,3147,4.5,1378180191
394,26342,3.5,1297603413
518,2643,2,945370191
131,2683,3,992139118
15,1207,3,1044347743
75,923,4.5,1143049074
464,158,4,829912557
152,5060,1.5,1335900702
533,1183,3,965318540
405,1097,4.5,1097770478
346,648,4,1159128857
262,90374,2,1433901991
624,648,3,1019125129
388,2435,3,946529104
648,67267,4,1263684635
19,480,4,855192279
230,44195,5,1424847265
475,73017,3,1447072372
624,356,3,1019127614
5,1721,4,1163373744
124,786,3,1147861240
126,246,4,833286688
452,5481,3,1151811883
442,43869,4,1227969651
48,1544,3.5,1322167341
520,648,3.5,1142028862
19,376,3,855190166
205,45668,2.5,1442152542
331,24,4,1323373212
56,1676,2,1470350880
8,43871,3,1154473014
320,116797,4.5,1424366789
311,6979,4,1091465352
429,55444,1.5,1238951212
616,780,4,860572913
373,1682,3,938980029
608,2028,4,939361157
388,3527,5,965184821
430,44397,0.5,1151753780
452,1111,5,1077114933
235,1380,4,1111557859
624,7076,4,1074423312
36,440,3,847056926
562,589,5,1167426657
195,1210,5,975415188
654,2953,4,1145393495
73,3489,3.5,1255597607
388,8784,3,1160404392
40,4993,4.5,1466993344
178,3061,3.5,1437425865
509,70,1,939471667
73,104913,4.5,1395986058
468,256,2,1296197456
102,2784,4,957980222
607,2140,3,1148586714
405,2366,3,1061363332
15,5339,3.5,1345397799
311,594,3,898008163
402,122892,4.5,1443394229
427,33154,4,1115828627
23,6787,4,1148670473
311,1252,3,898008328
607,1393,2.5,1148585782
439,2094,3,1041114465
466,923,5,944977357
605,357,3,980177649
311,6059,3,1077052194
452,3952,3,989110784
511,11,4,829351964
283,923,1.5,1114524519
311,4360,3,1076968985
239,1500,5,991857939
254,1082,4,845158108
587,7160,4,1122546354
15,63859,3,1348976367
148,6269,5,1059531274
31,54503,4,1274157016
652,1961,4,1439493382
468,4728,1.5,1296201488
505,900,3.5,1340405826
414,4021,4,1039390696
157,2710,3.5,1344510213
547,5810,3,1415444349
78,2541,5,1327288596
130,2078,3.5,1139000209
380,80906,4,1302052203
416,165,4,841446621
380,63082,4,1231019895
547,2130,4,974810100
608,2763,3,939357852
547,86487,5,1351010563
587,1252,4,1111085919
391,17,4,891533092
511,235,3,829352433
564,2082,1,974837509
1,1953,4,1260759191
407,58,5,962646871
78,2700,5,1344469934
56,101577,1,1467092392
536,246,5,829471720
384,1275,3.5,1153501709
534,2762,5,973440111
291,1485,2.5,1111488659
339,1196,3,1446663109
118,3740,2,964408796
